지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%)
102,백령도,5/23/2016,17.9,13.3,22.3,16.1,4,65.3
102,백령도,5/24/2016,14.1,12.6,18.1,7,6.4,93.4
102,백령도,5/25/2016,15,12.4,19.4,,4.4,94.5
102,백령도,5/26/2016,15.9,13.7,21.8,0,3,85.4
102,백령도,5/27/2016,18,14.4,22.4,,1.5,66.9
102,백령도,5/28/2016,18.6,14.9,23.7,,2.7,63.1
102,백령도,5/29/2016,19,16.8,23.5,,3.7,70.9
102,백령도,5/30/2016,19,15.8,23.4,,5,77.4
102,백령도,5/31/2016,16.9,15,23,,3,72.5
102,백령도,6/1/2016,19,15.1,23.3,,2.3,51.1
102,백령도,6/2/2016,21,17.5,26.9,,3.4,51
102,백령도,6/3/2016,19.1,16.9,23.4,,4,74.1
102,백령도,6/4/2016,17.6,15.3,20.2,0,2.3,76.9
102,백령도,6/5/2016,18.5,14.8,23.4,,2.3,77.1
102,백령도,6/6/2016,19.2,16.1,22.7,0,2.1,72.1
102,백령도,6/7/2016,18.5,16.5,22.2,,3,88.6
102,백령도,6/8/2016,19.5,16.5,24.2,,2.8,88.8
102,백령도,6/9/2016,20.3,16.5,25.7,,2.5,84.1
102,백령도,6/10/2016,19.3,16.8,23.1,,3.2,92.5
102,백령도,6/11/2016,18.9,17.5,20,0,4.7,98
102,백령도,6/12/2016,17.4,14.8,21.4,0,2.5,97.3
102,백령도,6/13/2016,20.6,15.5,25.6,,3,72.6
102,백령도,6/14/2016,19.8,17.4,23.7,0.6,2.7,72.8
102,백령도,6/15/2016,17.7,16.5,20.6,21.5,5.9,98.4
102,백령도,6/16/2016,19.3,17.1,22.9,,5.9,89
102,백령도,6/17/2016,21.2,18.7,23.7,,6,87.4
102,백령도,6/18/2016,19.3,17.7,21.3,,4.9,94.3
102,백령도,6/19/2016,20,17.7,23.1,0.2,4.1,96.9
102,백령도,6/20/2016,20.6,18.1,23,,3.2,92.1
102,백령도,6/21/2016,20,18,23.3,,3.1,97.1
102,백령도,6/22/2016,20.9,18.7,25.6,1.1,2.8,95.8
102,백령도,6/23/2016,21.2,19.6,23.9,1.2,2.5,96
102,백령도,6/24/2016,19.6,16.7,21.4,0.4,4.1,93.3
102,백령도,6/25/2016,21.1,18.8,24,,6.2,80
102,백령도,6/26/2016,23.4,19.6,26.7,,4.3,70.9
102,백령도,6/27/2016,21.6,19.1,24.5,,4,96.9
102,백령도,6/28/2016,21.4,18,25,,2.5,92.1
102,백령도,6/29/2016,20.8,17.9,24.4,0.2,3.7,94
102,백령도,6/30/2016,22.3,20.5,24.3,0,3.9,98.5
102,백령도,7/1/2016,21.1,19,22.7,16.4,3.6,99
102,백령도,7/2/2016,21.7,18.7,25.5,,3.3,95.6
102,백령도,7/3/2016,22.1,18.1,26.8,,2.5,90.4
102,백령도,7/4/2016,21.1,18.4,24.9,9.3,3.4,92.4
102,백령도,7/5/2016,18.2,17,21.5,17.5,5,98.5
102,백령도,7/6/2016,18.4,16.3,21.6,,1.7,96.1
102,백령도,7/7/2016,21.1,17.8,26,,2.1,91.6
102,백령도,7/8/2016,23.1,19.4,26,,2,83.6
102,백령도,7/9/2016,21.3,18.7,24.5,,2.5,93.8
102,백령도,7/10/2016,23,19.9,26.6,,2.1,87.9
102,백령도,7/11/2016,24.1,21.5,28.9,,1.5,88.6
102,백령도,7/12/2016,24.1,20.9,28.5,,2.3,93.6
102,백령도,7/13/2016,23.4,20.5,26.7,0.4,2.2,98.3
102,백령도,7/14/2016,22.7,18.9,26.6,,2.5,77
102,백령도,7/15/2016,22.1,18.9,26.7,13,5,85.8
102,백령도,7/16/2016,18.5,17.4,20.4,52.7,6.6,99
102,백령도,7/17/2016,19.6,17.1,23.3,,2.3,93.9
102,백령도,7/18/2016,22.9,20.1,25.4,,2.1,87.4
102,백령도,7/19/2016,23.7,20.3,27.3,,2.6,84.5
102,백령도,7/20/2016,24.4,21.6,27.1,,5,84.5
102,백령도,7/21/2016,24.3,23,25.6,0,6.4,89.8
102,백령도,7/22/2016,23.6,22.2,25.7,,6.5,97.5
102,백령도,7/23/2016,23.6,22.9,24.1,0,4.5,99
102,백령도,7/24/2016,24.2,22.6,27.2,49,5,99
102,백령도,7/25/2016,23.8,22.3,25.2,0.5,4.4,99
102,백령도,7/26/2016,24.5,23.9,25.2,12,5.3,99
102,백령도,7/27/2016,24,22.9,24.6,3.6,4.1,99
102,백령도,7/28/2016,23.7,21.9,26.5,,3.2,98.8
102,백령도,7/29/2016,23.5,20.8,28.6,2.3,4.9,98.3
102,백령도,7/30/2016,25.2,23.4,26.8,0,3.4,99
102,백령도,7/31/2016,25.3,24.8,26.1,0.7,3.3,99
102,백령도,8/1/2016,25.2,21.4,27.8,3.1,2.9,98.5
102,백령도,8/2/2016,23.9,21.4,25.9,21.5,2.5,95.4
102,백령도,8/3/2016,25.6,22.1,29.3,0,2.2,81.5
102,백령도,8/4/2016,26.5,24.3,30,,2.1,80.3
102,백령도,8/5/2016,27.3,24.1,30.3,,2,79.4
102,백령도,8/6/2016,27.4,24.7,29.5,,1.6,71.9
102,백령도,8/7/2016,27.6,25.3,31.5,,1.3,82.5
102,백령도,8/8/2016,25.8,23.9,27.5,0,1.8,84.6
102,백령도,8/9/2016,26.2,23.3,30.3,,2.4,86.1
102,백령도,8/10/2016,27.1,24.6,30.4,,2.4,91.6
102,백령도,8/11/2016,27.6,25.7,31.1,,2.5,91.9
102,백령도,8/12/2016,28,26.1,31.3,,3.2,89.8
102,백령도,8/13/2016,27.7,26.2,30.6,,4.4,92
102,백령도,8/14/2016,26.1,23.4,30.1,8.9,3.1,91.4
102,백령도,8/15/2016,24.1,22.5,26.3,0,2.4,87.4
102,백령도,8/16/2016,23.7,21.4,26.7,,2,84.6
102,백령도,8/17/2016,26,22.5,29.8,,1.8,66.4
102,백령도,8/18/2016,26,24.6,28.2,0,2.7,80.8
102,백령도,8/19/2016,25.3,23.7,28.1,0.2,3.4,93.5
102,백령도,8/20/2016,25.3,23.2,27,20,3.4,88.9
102,백령도,8/21/2016,25.2,22.6,28.7,,1.6,91.1
102,백령도,8/22/2016,23.8,21.8,25.3,,2.2,83
102,백령도,8/23/2016,25.1,21.6,28.8,,2,72.6
102,백령도,8/24/2016,26,22.8,29.7,,2,80.9
102,백령도,8/25/2016,22.8,19.3,26,0.1,2.4,92.5
102,백령도,8/26/2016,21.4,18.7,25.1,,2.8,74.9
102,백령도,8/27/2016,20.9,18.1,24.4,,3.3,60.4
102,백령도,8/28/2016,20.7,17.8,23.5,,2.2,74.3
102,백령도,8/29/2016,21.2,18.7,23.6,,3,80.1
102,백령도,8/30/2016,20.1,18.5,21.9,0,6.3,72.1
102,백령도,8/31/2016,17.8,15.6,19.8,0.6,9.8,81
102,백령도,9/1/2016,20,16.4,24,17.9,5.3,89.5
102,백령도,9/2/2016,20.9,17.4,23.5,8.6,4.9,91
102,백령도,9/3/2016,21.6,20.2,26,,4.4,90
102,백령도,9/4/2016,21.2,20.1,23.9,,2.1,93.4
102,백령도,9/5/2016,21.6,17.8,27.4,0,2.6,87.1
102,백령도,9/6/2016,21.7,20,24,,2.8,93
102,백령도,9/7/2016,21.8,18.6,25.7,,1.9,88.3
102,백령도,9/8/2016,20.1,18.6,23.5,0,1.5,93.3
102,백령도,9/9/2016,21.2,18.9,24.2,,2.3,87.5
102,백령도,9/10/2016,21.5,18.4,25.6,0.7,2.5,83.9
102,백령도,9/11/2016,21.8,18.5,25.7,1.2,2,75.8
102,백령도,9/12/2016,21.2,19.1,25.2,,2.1,87.1
102,백령도,9/13/2016,21.6,19.2,26,,2.1,86.3
102,백령도,9/14/2016,21.1,19,24.4,,2,85.8
102,백령도,9/15/2016,22.2,19.3,25.6,,1.8,85.3
102,백령도,9/16/2016,21.6,20.5,25.2,,1.4,87.5
102,백령도,9/17/2016,20.8,18.7,23.5,,2.4,88.6
102,백령도,9/18/2016,20.4,18.5,23.2,,2.4,80.8
102,백령도,9/19/2016,19.3,17.1,22,,2.4,82.6
102,백령도,9/20/2016,18.6,15.8,21.9,,3.2,72.4
102,백령도,9/21/2016,18.7,16.8,21.7,,3.9,64.6
102,백령도,9/22/2016,19.5,16.4,22.8,,2.3,63
102,백령도,9/23/2016,20.4,18.3,24.3,,2.6,65.1
102,백령도,9/24/2016,20.6,18,24.5,,3.1,81
102,백령도,9/25/2016,21,18.9,24.9,,2.2,84.6
102,백령도,9/26/2016,21.5,18.9,26,0,1.8,74.1
102,백령도,9/27/2016,19.9,16.3,22.2,2.3,2.4,90.4
102,백령도,9/28/2016,15.6,14.1,17,0,2.7,77.8
102,백령도,9/29/2016,17.7,15.7,20.9,,2.1,80.9
102,백령도,9/30/2016,17.4,15.9,21,,1.8,85.9
102,백령도,10/1/2016,19.4,16.5,23.3,,2.7,83.3
102,백령도,10/2/2016,17.4,15.6,20.1,46,5.2,94.5
102,백령도,10/3/2016,18.2,16.1,21.3,,2.2,89.6
102,백령도,10/4/2016,19.5,16.1,22.7,,2.5,77.8
102,백령도,10/5/2016,17.9,14.6,21.2,,4.3,80.5
102,백령도,10/6/2016,15.6,13.6,18,,2.6,64.5
102,백령도,10/7/2016,17.3,15.6,20.3,3.1,4.4,77.1
102,백령도,10/8/2016,14.9,11,17.8,2.8,5.4,69.1
102,백령도,10/9/2016,11.6,9.7,13.5,,3.3,51
102,백령도,10/10/2016,13.9,10.7,16.8,,2.1,43.9
102,백령도,10/11/2016,16.3,13.5,19.1,,3.5,72.1
102,백령도,10/12/2016,13.7,12,16.2,,2.4,47.9
102,백령도,10/13/2016,15.5,13,18.1,,2.8,65.3
102,백령도,10/14/2016,17.7,16,20.8,,4.3,88
102,백령도,10/15/2016,17.6,15,20.6,,2.4,83.6
102,백령도,10/16/2016,16.4,14.6,19.9,0,2.9,85.6
102,백령도,10/17/2016,16.2,14.3,19.3,0,2.7,79.9
102,백령도,10/18/2016,15.9,14.4,18.3,,2.2,69.1
102,백령도,10/19/2016,17,14.6,19.6,,2.1,66.4
102,백령도,10/20/2016,17.1,15.5,19.6,,2.4,73.3
102,백령도,10/21/2016,16.3,15.5,18.1,0,5,89.9
102,백령도,10/22/2016,15.1,14,16.5,0.7,1.8,93
102,백령도,10/23/2016,13.6,10.8,15.6,0,4.1,76.4
102,백령도,10/24/2016,13,9.9,15.2,6.5,5.1,79.1
102,백령도,10/25/2016,14.3,12.5,16.6,31.6,4.6,81.5
102,백령도,10/26/2016,13.9,12.1,15.9,,2.5,68.8
102,백령도,10/27/2016,13.7,10.4,16.1,,2.5,50.3
102,백령도,10/28/2016,12.7,9.2,15.5,0,3.1,56.1
102,백령도,10/29/2016,7.6,6.8,9.2,,3.3,34.8
102,백령도,10/30/2016,11.3,7.6,13.7,,5.6,46.5
102,백령도,10/31/2016,5,2.2,13.7,0,4.1,56.8
102,백령도,11/1/2016,3.5,1.6,5.6,,3.6,49.1
102,백령도,11/2/2016,7,4.1,9.9,2.9,4,69.5
102,백령도,11/3/2016,11.7,6.6,13.3,0.2,6.2,57.5
102,백령도,11/4/2016,14.1,12.8,16.2,,7.4,90.8
102,백령도,11/5/2016,13.8,11.2,16.4,,5.3,87.8
102,백령도,11/6/2016,12.3,9.8,13.8,,4.5,78.4
102,백령도,11/7/2016,9.8,4.2,13.4,2.3,4.7,82.8
102,백령도,11/8/2016,3.6,2.8,5,,4.1,58.4
102,백령도,11/9/2016,3.4,0.7,5.4,,2.6,57.3
102,백령도,11/10/2016,5.9,2.5,8.5,6.9,3.8,61
102,백령도,11/11/2016,10.6,8.4,12.6,,6.1,57.8
102,백령도,11/12/2016,13,11.5,14.7,,5.8,93.5
102,백령도,11/13/2016,12.4,10.2,14.6,,4.4,94.8
102,백령도,11/14/2016,12.4,7.1,14.8,,3.5,79.9
102,백령도,11/15/2016,5.3,3.7,7.1,,2.8,52
102,백령도,11/16/2016,8.5,5.6,11,,2.3,53.1
102,백령도,11/17/2016,10.7,8.8,13.6,,2.7,74.1
102,백령도,11/18/2016,10.6,9.1,12.6,0.2,5.4,87.8
102,백령도,11/19/2016,10.3,6.4,12.8,0,3.6,85.6
102,백령도,11/20/2016,7,5.4,9.1,,3.1,46.8
102,백령도,11/21/2016,5.7,2.4,9.4,0,3.1,60.6
102,백령도,11/22/2016,-0.5,-1.7,2.5,0,3.6,63.6
102,백령도,11/23/2016,-0.1,-1.3,1.3,0,3.5,54.1
102,백령도,11/24/2016,1.4,-0.4,3.3,0,3.1,48
102,백령도,11/25/2016,4.1,0.8,6.3,0,3,69.5
102,백령도,11/26/2016,6.2,3.6,7.2,2.3,4.5,70.9
102,백령도,11/27/2016,6.7,2.3,9.1,0.2,4.5,56.3
102,백령도,11/28/2016,3.2,1.4,5.3,,3.1,53.4
102,백령도,11/29/2016,4.9,2.7,7.3,,2.4,55.9
102,백령도,11/30/2016,6.9,3.9,8.5,2.1,5,66.5
102,백령도,12/1/2016,5,3,8.4,,5.8,46.1
102,백령도,12/2/2016,5.7,2.7,8.9,,3.5,59
102,백령도,12/3/2016,7.7,5.5,9.7,,3.2,67.8
102,백령도,12/4/2016,9.8,8.5,11.3,,4.2,89.5
102,백령도,12/5/2016,5.3,0.1,9.9,,5.9,67.8
102,백령도,12/6/2016,3.1,-0.6,7,,4.7,45.1
102,백령도,12/7/2016,5.3,3.1,7.5,0,3.9,57.1
102,백령도,12/8/2016,5.7,2.8,8.9,3.1,4.2,62.9
102,백령도,12/9/2016,1.3,0.1,5.7,,3.9,60.5
102,백령도,12/10/2016,1.5,-0.2,2.9,,2.3,51.1
102,백령도,12/11/2016,2.8,-0.6,5.9,,2.9,60.6
102,백령도,12/12/2016,5.3,2.7,8,0,3.5,70
102,백령도,12/13/2016,2.1,-0.4,6.7,0,2.9,63.8
102,백령도,12/14/2016,-1.6,-3,-0.3,,3.5,61.9
102,백령도,12/15/2016,-2.7,-3.4,-1.4,0,4,54.3
102,백령도,12/16/2016,0.8,-3.4,4.9,,5.1,57.4
102,백령도,12/17/2016,7.2,4.5,9.3,,5.8,63.9
102,백령도,12/18/2016,8.5,7.4,10.2,0,4.1,86.5
102,백령도,12/19/2016,7.1,5.6,8.5,1.5,4,91.1
102,백령도,12/20/2016,6.1,4.6,8.5,,2,87.5
102,백령도,12/21/2016,5.9,3.4,7.3,30.2,4,91.3
102,백령도,12/22/2016,2.5,-1.5,6.5,2.4,7.5,86.4
102,백령도,12/23/2016,-2.3,-3.7,-1.2,0,6.1,73.5
102,백령도,12/24/2016,-0.8,-1.7,1,,1.8,69.3
102,백령도,12/25/2016,1.2,-1.9,3.4,,2.2,62.9
102,백령도,12/26/2016,2.6,0.2,4.4,0,2.7,68.1
102,백령도,12/27/2016,-3,-4,0.2,0,4.8,57.8
102,백령도,12/28/2016,-1,-4,1.3,1,3,65.4
102,백령도,12/29/2016,-2.3,-3.5,1.3,0,3.6,53.1
102,백령도,12/30/2016,0.9,-2,3.7,0,4.5,64.9
102,백령도,12/31/2016,4,2.5,6.2,,3.5,53.8
102,백령도,1/1/2017,5.6,3.4,7.7,,2.7,80.8
102,백령도,1/2/2017,5.2,3.4,7.5,,4.6,76
102,백령도,1/3/2017,5,2.2,7.2,,4.3,61.6
102,백령도,1/4/2017,4.5,2.9,6.9,,2.2,58.6
102,백령도,1/5/2017,3.8,2,5.3,,3.2,48.8
102,백령도,1/6/2017,4.8,2.9,7.2,,3.8,71.4
102,백령도,1/7/2017,5.1,3.3,7.7,,2.3,72.9
102,백령도,1/8/2017,4.1,2.3,6,0,3.9,77.8
102,백령도,1/9/2017,0.9,-1.3,3.1,0,4.8,54.8
102,백령도,1/10/2017,-1.6,-3.8,1.3,0,4.6,50.4
102,백령도,1/11/2017,0.9,-3.4,3.9,0,5.5,45.3
102,백령도,1/12/2017,-0.8,-3.1,3.2,0,3.2,52.5
102,백령도,1/13/2017,-4.1,-6.1,-1.1,1.7,4.3,61.1
102,백령도,1/14/2017,-5.4,-6.4,-4.2,0,3.8,48.4
102,백령도,1/15/2017,-3.1,-5.8,-0.8,,2.9,48.8
102,백령도,1/16/2017,-1.3,-3.2,0.9,,2,58.5
102,백령도,1/17/2017,0.4,-1.1,1.7,,2.8,60.5
102,백령도,1/18/2017,1.5,-0.7,3.7,0,3.2,63
102,백령도,1/19/2017,-0.4,-2.9,2.1,7.1,2,75.8
102,백령도,1/20/2017,-4.5,-5.6,-1.9,0.7,5.1,71.4
102,백령도,1/21/2017,-2.3,-3.9,0.1,1.1,6.2,60.9
102,백령도,1/22/2017,-6.1,-7.1,-3.4,0,4.6,60.5
102,백령도,1/23/2017,-5.7,-7.3,-3.6,0,3.4,60.6
102,백령도,1/24/2017,-3.6,-5.1,-2.2,,2.6,52.1
102,백령도,1/25/2017,-0.5,-3,1.4,,2.5,52.9
102,백령도,1/26/2017,4,-0.2,6.6,0.7,8.6,78.4
102,백령도,1/27/2017,-2.7,-3.7,0.6,0,3.4,43.4
102,백령도,1/28/2017,-1.3,-4.4,1,,3.9,44.4
102,백령도,1/29/2017,-1,-3.9,1,5.2,3,84.8
102,백령도,1/30/2017,-5,-6.1,-3.9,0,4.3,57.4
102,백령도,1/31/2017,-1.9,-4.8,0.7,,2.7,52.5
102,백령도,2/1/2017,-2.7,-5.1,0.9,0,3.8,51
102,백령도,2/2/2017,1.1,-2.4,3.7,,5.2,60.1
102,백령도,2/3/2017,3.1,1.5,5.7,,2.6,61.9
102,백령도,2/4/2017,2,1.1,3.2,0,4.1,91.5
102,백령도,2/5/2017,1.4,-0.2,3.3,1.5,4.5,77.4
102,백령도,2/6/2017,-1.2,-2.6,-0.1,,3.9,49.3
102,백령도,2/7/2017,-1.4,-2.4,0.5,0,2.7,51
102,백령도,2/8/2017,-1.3,-2.9,0.1,,3.6,54.1
102,백령도,2/9/2017,-4.6,-6.3,-2.8,0,5.6,49
102,백령도,2/10/2017,-5.3,-7.1,-4,0,5,55
102,백령도,2/11/2017,-2.9,-4.7,-0.8,0,3.9,50.3
102,백령도,2/12/2017,-0.4,-2,2,,2.3,46.3
102,백령도,2/13/2017,1.1,-0.6,5.1,,3.5,71.9
102,백령도,2/14/2017,0.6,-1.1,2.6,,2.2,55.8
102,백령도,2/15/2017,4.3,0.4,6.9,,3.6,82.1
102,백령도,2/16/2017,5.6,0.6,7.4,2,3.8,93.3
102,백령도,2/17/2017,-2.5,-3.8,0.7,,3.9,48.3
102,백령도,2/18/2017,-0.5,-4,3,,2.6,54.5
102,백령도,2/19/2017,4.1,0.7,6.2,0,5,83.3
102,백령도,2/20/2017,-4.1,-5.8,1.7,,3.9,54
102,백령도,2/21/2017,-2.6,-5.5,0.5,,2.4,43.4
102,백령도,2/22/2017,-0.8,-3.2,0.5,8.7,3.4,81.4
102,백령도,2/23/2017,-1.3,-2.2,0.6,,4.9,47.8
102,백령도,2/24/2017,1.2,-1.9,3.9,,4.4,51.8
102,백령도,2/25/2017,3.1,1.3,6.2,,4.6,66.1
102,백령도,2/26/2017,2.7,0,5.7,,2.1,70.8
102,백령도,2/27/2017,4.3,1.8,7.9,,3.2,71.1
102,백령도,2/28/2017,5.8,3.8,8,,5.6,88.8
102,백령도,3/1/2017,3.1,-0.3,6.1,6.6,4,88.6
102,백령도,3/2/2017,0.2,-2.6,2.7,,4.9,55.4
102,백령도,3/3/2017,5.2,2.7,8,,6.1,82.3
102,백령도,3/4/2017,4.4,3,8.5,,3.4,91
102,백령도,3/5/2017,2.2,-0.4,5.4,,3.5,82.3
102,백령도,3/6/2017,-0.7,-2.9,2.1,0.9,2.9,56.8
102,백령도,3/7/2017,-1.8,-3.4,-0.6,0,5,42.9
102,백령도,3/8/2017,1.4,-0.9,4,0,6.5,55.9
102,백령도,3/9/2017,4,1.8,6.4,,6,63.1
102,백령도,3/10/2017,5.5,2.3,9.1,,5.9,76.5
102,백령도,3/11/2017,4.8,2.9,7.9,,4.5,89.6
102,백령도,3/12/2017,5.3,2.5,9.8,1.3,3.7,85.3
102,백령도,3/13/2017,3.8,1.9,6,,3.5,60.8
102,백령도,3/14/2017,3.9,2.1,6.4,,4,53.5
102,백령도,3/15/2017,3.7,1.8,6.7,,2.3,58.8
102,백령도,3/16/2017,5.2,2.9,9.3,,2.8,62.9
102,백령도,3/17/2017,7.9,4,12.7,,3.7,47.8
102,백령도,3/18/2017,7.2,5.2,10.2,,5,56.5
102,백령도,3/19/2017,9.3,5.2,14.8,,2.6,44.6
102,백령도,3/20/2017,7.9,3.9,12.8,,2.5,46.3
102,백령도,3/21/2017,4.6,2.4,7.4,,5.1,55.5
102,백령도,3/22/2017,6,3.2,10,,3.3,47.6
102,백령도,3/23/2017,5.3,3.3,7.6,,2.8,65.1
102,백령도,3/24/2017,5.3,2.8,10,,1.9,46.5
102,백령도,3/25/2017,5.2,2.7,8.4,,2.9,60.8
102,백령도,3/26/2017,4.6,3.3,7,,4,87.4
102,백령도,3/27/2017,6.1,3.9,9.8,,4.5,80.9
102,백령도,3/28/2017,7,3.9,11.5,,3.2,73.3
102,백령도,3/29/2017,6.4,3.5,10.1,,3.1,78.8
102,백령도,3/30/2017,7.8,5.2,11.2,,3.1,76.5
102,백령도,3/31/2017,6.6,4.1,9.5,,2.7,73.8
102,백령도,4/1/2017,7.5,4.2,11.6,,3.6,51.6
102,백령도,4/2/2017,8.5,5,14.7,,4.8,52.3
102,백령도,4/3/2017,10.2,6.9,16.2,,5.3,64
102,백령도,4/4/2017,9.3,6.1,14.4,0,5.8,73.9
102,백령도,4/5/2017,7.9,6.8,10.2,15.6,6.6,91.4
102,백령도,4/6/2017,7.2,6.1,9.8,,4,94.5
102,백령도,4/7/2017,8.3,5.4,13.9,,2,88.5
102,백령도,4/8/2017,6.4,5.2,9.1,0,2.3,90
102,백령도,4/9/2017,9.5,5.6,14.3,,2.7,53.3
102,백령도,4/10/2017,11.6,8.1,15,,5,49.1
102,백령도,4/11/2017,9.1,6.2,12.6,,4.9,56
102,백령도,4/12/2017,8.8,6,12.4,,4.2,42.5
102,백령도,4/13/2017,10.5,7.8,13.1,0,4.9,59.5
102,백령도,4/14/2017,9.8,7.5,13.3,2.6,5.3,83.5
102,백령도,4/15/2017,11.7,6.6,18.4,,6.9,84.1
102,백령도,4/16/2017,10.1,7.3,15.7,,5.9,90.5
102,백령도,4/17/2017,13.1,9.5,17.8,0.6,3.1,77.4
102,백령도,4/18/2017,9.2,6.8,12,1.3,7.2,80.1
102,백령도,4/19/2017,10.6,7.5,16.9,0,3.7,45.1
102,백령도,4/20/2017,11,8.8,16.5,0,4.8,59.4
102,백령도,4/21/2017,8.9,6.8,13.4,,4.2,83.9
102,백령도,4/22/2017,12.3,6.9,16.9,,4.4,50.4
102,백령도,4/23/2017,11.7,9.9,14.3,,8.1,64.5
102,백령도,4/24/2017,11.3,9.3,14.4,0,6.1,81.3
102,백령도,4/25/2017,10,7.9,12.9,,3.2,76.4
102,백령도,4/26/2017,11.1,7.7,15.6,,4.2,51.4
102,백령도,4/27/2017,11.9,8.4,14.8,,7.9,56.3
102,백령도,4/28/2017,13.9,9.8,19.4,,7.6,48.1
102,백령도,4/29/2017,14.4,10.3,20,,5.2,58.1
102,백령도,4/30/2017,13.4,9.6,18,,3.4,69.8
102,백령도,5/1/2017,17.5,10.8,22.6,,2.7,38.3
102,백령도,5/2/2017,16.3,10.1,21.8,,4.1,57.8
102,백령도,5/3/2017,17.2,12.7,20.9,,2.3,57.8
102,백령도,5/4/2017,17.4,15.1,22.2,,2.6,55.9
102,백령도,5/5/2017,14.6,9,20.2,,4.9,79.6
102,백령도,5/6/2017,12.2,8.4,15.7,,6.3,57
102,백령도,5/7/2017,14.9,10.2,21.3,,4.7,46.3
102,백령도,5/8/2017,15.3,11.8,18.1,,5.3,72.3
102,백령도,5/9/2017,12.6,10.9,14.5,0.2,3.6,82.3
102,백령도,5/10/2017,12.8,9.1,17.4,0,4,84.1
102,백령도,5/11/2017,14.7,11.2,18.1,0,4.8,87
102,백령도,5/12/2017,15.7,10.4,24.8,,3.5,74.6
102,백령도,5/13/2017,12.7,9.5,14.8,10,7.3,85.8
102,백령도,5/14/2017,13.1,10.7,15.3,,9.7,62.9
102,백령도,5/15/2017,13.5,10.2,16.3,,7,69.4
102,백령도,5/16/2017,15.7,12.4,21.4,,3.8,72.5
102,백령도,5/17/2017,15.8,13.3,20,,4.8,79.3
